No,GRT,Length,TerminalName,TEU,VoyageType,Interval,EarlinessTardiness,ST,OT,UT
1,13603,155,1,427,Feeder,33.15,3,1.42,19.45,10.97
3,17618,201,1,1861,Feeder,18.23,13,4,31.4,3.27
4,16694,174,1,1223,Liner,8.9,64,2.72,46.5,5.78
5,29873,210,1,605,Liner,30.38,0,1.65,25.85,4.08
7,15670,168,1,1502,Liner,12,7,4.38,56.13,5.82
8,16100,170,1,268,Liner,8.17,15,0.77,7.63,1.6
9,36014,240,1,4082,Liner,14.83,0,2.22,76.73,1.93
10,17215,177,1,841,Liner,1,-2,1.97,15.3,2.07
11,17887,182,1,2062,Liner,14.5,-13,2.12,33.32,2.9
12,42323,242,1,1881,Liner,29.5,-3,1.47,46.95,1.58
13,17618,201,1,2071,Feeder,1.5,0,1.22,66.43,2.68
14,16135,170,1,1394,Liner,13.75,1,1.28,20.32,2.45
16,27681,221,1,2683,Liner,4.75,6,3.3,34.48,5.8
17,2599,94,1,58,Liner,5.5,-1,1.03,5.3,6.75
18,29259,200,1,263,Liner,7.1,-1,1.15,10.3,1.47
19,4876,122,1,291,Feeder,0.9,3,1.9,7.52,2.67
20,29873,210,1,1046,Liner,6.08,-4,13.37,25.27,2.7
21,10837,158,1,696,Feeder,4.82,4,1.03,13.82,2.33
22,5608,117,1,805,Feeder,15.27,-1,1.28,17.45,1.3
23,10837,153,1,735,Feeder,13.33,-15,2.5,21.32,2.02
24,16135,170,1,1669,Feeder,17.67,-9,1.83,33.73,1.52
26,36014,240,1,3418,Liner,1,5,2.5,54.48,1.27
27,9528,147,1,1449,Feeder,16.5,-1,1.35,17.42,1.82
28,17215,177,1,916,Liner,3,3,1.47,21.28,1.87
29,51047,288,1,1724,Liner,12.75,1,2.37,22.82,2.23
30,15095,168,1,1357,Liner,29.25,3,1.1,34.73,1.75
31,15670,168,1,1159,Liner,3.83,28,1.77,48.82,4
32,17618,201,1,1268,Feeder,3.33,6,3.22,29.72,1.98
33,29872,210,1,907,Liner,0.33,7,1.93,17.18,1.05
34,23285,187,1,2590,Liner,2.25,-1,1.22,24.35,3.68
35,10837,158,1,754,Feeder,8.25,6,1.37,17.93,0.5
36,10256,147,1,515,Liner,8,3,1.1,22.95,1.78
37,16600,178,1,1487,Feeder,2.75,13,12.68,22.08,1.82
38,19573,174,1,1552,Liner,6.3,3,1.72,21.98,1.88
40,16135,170,1,1044,Feeder,54.5,0,1.72,17.93,1.43
41,16100,170,1,257,Liner,1.5,-1,2,2.42,2.5
42,17215,177,1,661,Liner,9,0,1.13,10.42,1.45
43,9600,150,1,953,Feeder,19,-21,2.98,11.75,1.6
45,16600,178,1,1242,Feeder,1.08,3,0.98,25.95,1.98
46,14036,155,1,1236,Liner,3.42,-2,1.85,20.62,1.9
47,10837,158,1,652,Feeder,10.5,0,1.28,20.97,0.75
48,17618,201,1,1590,Feeder,18.5,6,1.17,22.1,3.4
49,37323,240,1,1595,Liner,0.2,-1,1.55,29.95,2.08
50,5608,117,1,665,Feeder,4.6,0,1.18,13.25,1.53
51,16694,174,1,1463,Liner,7.7,-24,1.67,42.35,2.73
52,29872,210,1,526,Liner,20.75,5,1.02,15.6,3.88
53,17887,182,1,1558,Liner,34.5,1,1.48,19.93,2.92
54,36014,240,1,4300,Liner,5.75,2,1.58,58.22,2.12
56,10837,158,1,323,Feeder,10.67,1,1.6,9.32,1.33
57,16600,178,1,1424,Feeder,12.33,4,0.78,17.37,1.68
58,15670,168,1,887,Liner,8.25,27,1.82,13.18,7.07
59,16135,170,1,1032,Feeder,11.25,1,1.28,16.27,2.2
60,16233,182,1,833,Liner,2.25,0,1.6,18.73,2.12
62,4876,122,1,212,Feeder,1,-1,0.78,3.93,1.07
63,19562,173,1,1354,Liner,7.25,-4,1.28,22.58,1.47
64,17887,180,1,1415,Liner,3.5,5,1.1,20.95,2.53
65,51982,258,1,1887,Liner,1,1,1.25,25.4,1.52
66,5608,117,1,674,Feeder,16.5,-1,1.37,15.67,1.3
67,15670,168,1,1603,Liner,6,14,1.72,33.83,5.12
68,29872,210,1,808,Liner,4.5,4,2.12,21.12,1.1
69,16600,178,1,999,Feeder,2.8,5,1.47,17.88,1.68
70,25391,207,1,3407,Liner,2.28,-2,2.77,62.47,3.03
71,10837,158,1,1189,Feeder,35.17,-24,1.97,23.83,0.62
72,16135,170,1,1144,Feeder,4.85,4,1.28,18.43,1.2
73,4419,100,1,478,Feeder,13.02,-2,1.28,9.12,1.52
74,16100,170,1,214,Liner,0.08,4,2.2,10.18,1.3
75,25407,207,1,1914,Liner,37.55,0,1.58,21.15,1.35
76,16135,170,1,1287,Liner,0.83,4,0.82,16.48,2.37
77,17215,176,1,791,Liner,3.17,4,1.25,23.2,2.92
78,15670,168,1,1544,Liner,2.5,23,1.45,36.02,2.78
79,3534,116,1,356,Feeder,16.25,3,2.68,10.53,3.03
80,16600,178,1,1033,Feeder,4.25,-1,1.78,12.73,1.2
81,10837,158,1,774,Feeder,6.65,8,3.82,16.88,2.05
82,16694,174,1,381,Liner,3.93,8,2.1,12.83,2.4
83,17618,201,1,1726,Feeder,2.17,0,3.27,53.35,0.88
84,42323,242,1,1667,Liner,11.13,1,1.25,34.15,1.3
85,9030,126,1,496,Liner,2.67,3,3.02,13.08,27.15
86,17887,181,1,1162,Liner,19.7,-7,1.65,20.97,1.63
87,5608,117,1,752,Feeder,6.5,5,1.17,16.25,1.25
88,27681,222,1,1872,Liner,7.08,8,2.3,29.37,2.88
89,4419,100,1,824,Feeder,28.92,-4,1.32,18.88,2.1
90,24305,182,1,327,Liner,1,2,1.33,7,1.67
91,10837,158,1,585,Feeder,19.5,2,0.57,5.15,1.7
94,1831,100,1,361,Feeder,4.25,-3,1.22,8.42,1.95
95,9600,150,1,1122,Feeder,0.75,0,1.78,17.08,1.72
96,26787,208,1,884,Liner,6.67,0,1,18.87,2.38
97,16135,170,1,1541,Feeder,10.13,1,0.98,53.3,2.22
98,15095,168,1,1380,Liner,8.45,1,0.57,25,4.85
99,17887,182,1,1788,Liner,6.75,1,1.12,29.9,1.72
100,10837,158,1,700,Feeder,8.7,-4,1.25,15.38,5.03
101,42323,242,1,1387,Liner,6.1,4,2.12,19.85,2.28
102,17618,201,1,1875,Feeder,4,2,1.5,37.67,2.33
103,10256,147,1,471,Liner,3.8,-8,2.48,9.47,1.72
104,4876,122,1,306,Feeder,14.8,-4,0.7,9.4,1.4
105,29873,210,1,1108,Liner,12.93,3,1.28,20.42,1.72
106,16600,178,1,1580,Feeder,8.87,8,2.68,34.78,2.87
107,25407,207,1,1914,Liner,20.07,0,2.03,22.92,2.62
108,10837,158,1,635,Feeder,2.73,-3,1.53,15.72,2.5
109,36014,240,1,3925,Liner,9,-14,3.22,91,2.45
110,15670,168,1,1304,Liner,35.5,-17,2.4,41.23,4.7
111,16100,170,1,262,Liner,3.33,4,0.78,12.52,1.58
112,16135,170,1,1604,Feeder,5.17,0,1.07,53,2.18
113,17215,177,1,976,Liner,17,1,1.95,21.43,2.95
114,14036,155,1,1504,Liner,3.3,1,2.08,37.12,2.5
115,17887,182,1,1441,Liner,19.53,2,1.38,19.2,1.42
116,51047,288,1,1787,Liner,5.67,1,0.68,20.88,2.43
117,17618,201,1,1360,Feeder,5.6,2,0.92,16.73,1.22
118,10837,158,1,705,Feeder,6.07,-4,0.58,13.97,2.28
119,16694,174,1,1366,Liner,1.42,2,3.38,33.15,2.72
120,25391,207,1,1782,Liner,19.92,-8,2.2,20.95,5.52
121,29872,210,1,698,Liner,10.58,0,1.27,13.85,3.13
122,16600,178,1,1472,Feeder,11.92,6,1.23,25.15,1.28
123,29259,200,1,361,Liner,12,-2,1.58,9.27,1.82
124,5608,117,1,833,Feeder,2,2,0.93,16.87,2.52
125,36014,240,1,4293,Liner,12,2,2.25,57.83,4.08
126,16135,170,1,1219,Feeder,19,-2,1.75,19.08,1.75
128,9600,150,1,1371,Feeder,11,1,1,17.42,2.42
129,17215,177,1,828,Liner,27.5,-7,0.58,15.08,2.17
130,10837,158,1,740,Feeder,0.75,2,4.02,6.22,2.28
131,14036,155,1,1210,Liner,23.75,-2,1,13.58,2.82
132,10256,147,1,434,Liner,8.92,5,1.7,8.03,1.6
133,4419,100,1,421,Feeder,7.08,-3,1.33,7.98,1.68
134,19573,174,1,944,Liner,4.5,-7,0.9,14.77,1.08
135,16600,178,1,1424,Feeder,13.48,8,1.9,20.87,1.82
136,5608,117,1,737,Feeder,1.35,1,0.87,18.5,1.45
137,29872,210,1,825,Liner,0.33,1,0.87,12.55,2.83
138,16135,170,1,927,Liner,14.75,-2,1,17.08,1.92
139,37323,240,1,1734,Liner,7.58,-46,1.17,22.97,1.37
140,16135,170,1,1368,Feeder,0.02,0,1.23,25.87,1.87
141,15670,168,1,1522,Liner,14.98,-3,1.62,34.48,4.08
142,36014,240,1,4523,Liner,19.43,3,2.32,74.65,1.03
143,27681,221,1,1535,Liner,12.97,-1,2.87,30.47,4.67
144,16100,170,1,341,Liner,18.77,-2,0.83,7.53,1.63
145,17215,177,1,573,Liner,9.33,3,1.52,8.63,2.43
146,16805,178,1,2302,Feeder,4.42,4,1.03,30.13,1.13
147,17887,182,1,1578,Liner,8.42,1,1.15,21.52,1.08
148,16600,178,1,1154,Feeder,7.17,-10,0.5,32.3,2.2
149,51982,258,1,1425,Liner,23.25,4,3.62,19.95,1.6
150,10837,158,1,919,Feeder,0.92,0,1.22,12.95,0.62
151,16135,170,1,1251,Feeder,8.08,0,4.17,30.2,2.97
152,15670,168,1,1278,Liner,4.75,8,1.17,41.93,1.73
153,29872,210,1,878,Liner,25.28,-4,1.57,18.9,3.7
154,25391,207,1,1824,Liner,3.22,1,1.85,41.63,2.77
155,15095,168,1,1260,Liner,13,3,1.25,21.78,1.72
156,16600,178,1,1243,Feeder,11.65,-3,1.33,15.73,1.35
157,16805,178,1,2088,Feeder,24.35,1,1.18,20.57,2.17
160,16233,182,1,933,Liner,6.67,3,2.98,27.62,2.03
161,29259,200,1,322,Liner,4.38,1,0.53,4.7,3.02
162,10837,158,1,589,Feeder,34.7,-2,1.6,11.65,1.33
163,16135,170,1,1626,Feeder,14.83,3,0.85,25.83,1.4
164,42323,242,1,1540,Liner,0.17,4,1.18,19.5,2.47
165,17887,180,1,1568,Liner,22,-1,1.8,22.67,1.55
166,15670,168,1,1515,Liner,11.75,2,1.37,27.45,2.02
167,36014,240,1,3750,Liner,9.33,29,1.67,53.83,2.42
168,14036,155,1,1042,Liner,7.42,0,0.83,20.68,2.48
169,9600,150,1,1217,Feeder,11,2,1.23,28.37,1.65
170,10837,158,1,473,Feeder,34.83,-3,0.57,5.02,2.17
171,15670,168,1,801,Liner,10.17,0,1.2,9.15,5.23
172,16600,178,1,1429,Feeder,8.75,9,4.07,18.33,1.27
173,16100,170,1,282,Liner,2.75,9,1.42,22.05,1.37
175,17215,176,1,755,Liner,0.25,1,2.3,14.55,2.48
176,10837,158,1,614,Feeder,9.58,-5,1.23,10.28,0.4
177,16135,170,1,1590,Feeder,15.67,0,3.13,21.25,1.12
178,17887,181,1,814,Liner,19.5,-1,0.92,9.2,1.85
179,42323,242,1,1596,Liner,25.87,1,1.18,22.98,1.43
180,9030,126,1,480,Liner,3.13,19,1.97,9.83,0.98
181,29873,210,1,1070,Liner,7.75,5,1.27,16.37,3.33
182,16805,178,1,2971,Feeder,0.75,3,1.58,47.03,1.55
183,14036,155,1,933,Liner,5.4,4,1.15,14.85,1.93
184,16694,174,1,1322,Liner,1.27,9,1.72,29.43,3.1
185,24305,182,1,271,Liner,0.92,5,1.07,4.13,1.52
186,25407,207,1,1992,Liner,26.5,-2,2.07,31.17,1.18
187,36014,240,1,4047,Liner,11.17,0,1.7,39.6,2.65
188,4876,122,1,373,Feeder,4.72,3,1.6,7.63,0.68
189,10837,153,1,640,Feeder,13.33,-3,0.9,14.25,1.83
191,26787,208,1,765,Liner,12.5,9,1.08,11.15,2.68
192,1831,100,1,318,Feeder,2.25,7,0.63,8.52,1.18
193,16135,170,1,1432,Feeder,25,-3,0.93,19.47,8.02
194,17887,182,1,1860,Liner,26,1,4.23,14.52,2
195,16805,178,1,2371,Feeder,9.83,3,1.08,25.13,1.45
196,27681,222,1,2318,Liner,7.87,0,2.6,20.35,3.8
197,29872,210,1,833,Liner,8.5,-4,1.22,16.78,1
198,10256,147,1,547,Liner,8.35,0,1.85,8.47,0.93
199,5608,117,1,793,Feeder,5.5,6,1.15,15.1,2.65
200,36014,240,1,3922,Liner,2.2,9,2.08,58.18,4.32
201,16600,178,1,1430,Feeder,19.5,2,4.17,16.4,1.4
202,16135,170,1,1293,Liner,18.75,0,1.3,17.23,1.47
203,15670,168,1,722,Liner,10.33,12,1.43,19.15,4.08
205,16100,170,1,251,Liner,19.7,1,2.57,4.3,3.63
206,15670,168,1,1546,Liner,0.5,17,1.3,41.57,2.22
207,17215,177,1,833,Liner,5.5,3,2.32,13.48,2.45
208,10837,158,1,840,Feeder,6.5,0,3.67,15.93,1.4
210,17887,182,1,763,Liner,1.57,3,0.83,8.58,0.92
211,16805,178,1,1603,Feeder,11.93,-2,1.28,26.03,1.72
212,9030,126,1,507,Liner,19.67,-1,2.03,11.83,1.22
