
                                      ARENA Simulation Results
                                                  

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date : 2/ 2/2022
Analyst: None                                                        Model revision date: 1/31/2022

Replication ended at time      : 525600.0 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

tis_twostage_implant                         2.2986E+5 (Corr)      1.4873E+5  4.8647E+5   1077    
tis_immediate_implant                       33279.     (Corr)     642.63      3.0006E+5    470    
tis_ortho_patients                          871.09     (Corr)     452.46     1439.7       2658    
tis_restoration                             1832.9     25.536     492.57     3958.2       5207    
tis_denture                                  1.0150E+5 772.85     81403.      1.2288E+5   2160    
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
immediate implant 1.VATime                      --         --         --         --          0
immediate implant 1.NVATime                     --         --         --         --          0
immediate implant 1.WaitTime                    --         --         --         --          0
immediate implant 1.TranTime                    --         --         --         --          0
immediate implant 1.OtherTime                   --         --         --         --          0
immediate implant 1.TotalTime                   --         --         --         --          0
Implant type 2.VATime                       93918.     8622.1     15002.      5.6403E+5   1077    
Implant type 2.NVATime                      .00000     .00000     .00000     .00000       1077    
Implant type 2.WaitTime                      2.0401E+5 (Corr)      1.3310E+5  3.3167E+5   1077    
Implant type 2.TranTime                     93.036     (Corr)     60.000     100.00       1077    
Implant type 2.OtherTime                    .00000     .00000     .00000     .00000       1077    
Implant type 2.TotalTime                     2.3970E+5 (Corr)      1.4873E+5  4.8647E+5   1077    
Implant type 1.VATime                       28346.     (Corr)     292.33      4.4462E+5    470    
Implant type 1.NVATime                      .00000     .00000     .00000     .00000        470    
Implant type 1.WaitTime                     21142.     2198.9     895.66     95028.        470    
Implant type 1.TranTime                     48.851     .56721     30.000     50.000        470    
Implant type 1.OtherTime                    .00000     .00000     .00000     .00000        470    
Implant type 1.TotalTime                    41993.     (Corr)     914.34      3.0006E+5    470    
patient.VATime                                  --         --         --         --          0
patient.NVATime                                 --         --         --         --          0
patient.WaitTime                                --         --         --         --          0
patient.TranTime                                --         --         --         --          0
patient.OtherTime                               --         --         --         --          0
patient.TotalTime                               --         --         --         --          0
dentures_patient.VATime                      1.1684E+5 (Corr)     81105.      3.6906E+5   2160    
dentures_patient.NVATime                    .00000     .00000     .00000     .00000       2160    
dentures_patient.WaitTime                   2032.7     (Corr)     627.35     24850.       2160    
dentures_patient.TranTime                   48.287     (Corr)     30.000     50.000       2160    
dentures_patient.OtherTime                  .00000     .00000     .00000     .00000       2160    
dentures_patient.TotalTime                   1.0903E+5 (Corr)     81441.      2.5893E+5   2160    
Implant_patient.VATime                          --         --         --         --          0
Implant_patient.NVATime                         --         --         --         --          0
Implant_patient.WaitTime                        --         --         --         --          0
Implant_patient.TranTime                        --         --         --         --          0
Implant_patient.OtherTime                       --         --         --         --          0
Implant_patient.TotalTime                       --         --         --         --          0
two stage implant 2.VATime                      --         --         --         --          0
