
                                      ARENA Simulation Results
                                                  

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date : 2/ 2/2022
Analyst: None                                                        Model revision date: 2/ 2/2022

Replication ended at time      : 26280.0 Hours 
Statistics were cleared at time: 2160.0 Hours (Tuesday, May 03, 2022, 00:00:00)
Statistics accumulated for time: 24120.0 Hours
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

tis_twostage_implant                            --         --         --         --          0
tis_immediate_implant                           --         --         --         --          0
time in laboratory                          9.7299     .06973     1.9171     10.966       1129    
tis_ortho_patients                              --         --         --         --          0
tis_restoration                                 --         --         --         --          0
tis_denture                                     --         --         --         --          0
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
immediate implant 1.VATime                      --         --         --         --          0
immediate implant 1.NVATime                     --         --         --         --          0
immediate implant 1.WaitTime                    --         --         --         --          0
immediate implant 1.TranTime                    --         --         --         --          0
immediate implant 1.OtherTime                   --         --         --         --          0
immediate implant 1.TotalTime                   --         --         --         --          0
Implant type 2.VATime                           --         --         --         --          0
Implant type 2.NVATime                          --         --         --         --          0
Implant type 2.WaitTime                         --         --         --         --          0
Implant type 2.TranTime                         --         --         --         --          0
Implant type 2.OtherTime                        --         --         --         --          0
Implant type 2.TotalTime                        --         --         --         --          0
Implant type 1.VATime                           --         --         --         --          0
Implant type 1.NVATime                          --         --         --         --          0
Implant type 1.WaitTime                         --         --         --         --          0
Implant type 1.TranTime                         --         --         --         --          0
Implant type 1.OtherTime                        --         --         --         --          0
Implant type 1.TotalTime                        --         --         --         --          0
patient.VATime                                  --         --         --         --          0
patient.NVATime                                 --         --         --         --          0
patient.WaitTime                                --         --         --         --          0
patient.TranTime                                --         --         --         --          0
patient.OtherTime                               --         --         --         --          0
patient.TotalTime                               --         --         --         --          0
dentures_patient.VATime                         --         --         --         --          0
dentures_patient.NVATime                        --         --         --         --          0
dentures_patient.WaitTime                       --         --         --         --          0
dentures_patient.TranTime                       --         --         --         --          0
dentures_patient.OtherTime                      --         --         --         --          0
dentures_patient.TotalTime                      --         --         --         --          0
Implant_patient.VATime                          --         --         --         --          0
Implant_patient.NVATime                         --         --         --         --          0
Implant_patient.WaitTime                        --         --         --         --          0
Implant_patient.TranTime                        --         --         --         --          0
Implant_patient.OtherTime                       --         --         --         --          0
Implant_patient.TotalTime                       --         --         --         --          0
two stage implant 2.VATime                      --         --         --         --          0
two stage implant 2.NVATime                     --         --         --         --          0
two stage implant 2.WaitTime                    --         --         --         --          0
two stage implant 2.TranTime                    --         --         --         --          0
two stage implant 2.OtherTime                   --         --         --         --          0
two stage implant 2.TotalTime                   --         --         --         --          0
orthodontics_patient.VATime                     --         --         --         --          0
orthodontics_patient.NVATime                    --         --         --         --          0
orthodontics_patient.WaitTime                   --         --         --         --          0
orthodontics_patient.TranTime                   --         --         --         --          0
orthodontics_patient.OtherTime                  --         --         --         --          0
