SIMAN Run Controller.

331072.16 Minutes>
                                      ARENA Simulation Results
                                                  

                                  Summary for Replication 1 of 2

Project: Unnamed Project                                             Run execution date : 1/31/2022
Analyst: None                                                        Model revision date: 1/31/2022

Replication ended at time      : 1576800.0 Minutes 
Statistics were cleared at time: 43200.0 Minutes (Wednesday, March 02, 2022, 00:00:00)
Statistics accumulated for time: 1533600.0 Minutes
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

tis_twostage_implant                            --         --         --         --          0
tis_immediate_implant                           --         --         --         --          0
time in laboratory                          583.67     3.7525     115.03     657.96       1190    
tis_ortho_patients                              --         --         --         --          0
tis_restoration                                 --         --         --         --          0
tis_denture                                 91946.     (Insuf)    88685.     94008.          4    
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
immediate implant 1.VATime                      --         --         --         --          0
immediate implant 1.NVATime                     --         --         --         --          0
immediate implant 1.WaitTime                    --         --         --         --          0
immediate implant 1.TranTime                    --         --         --         --          0
immediate implant 1.OtherTime                   --         --         --         --          0
immediate implant 1.TotalTime                   --         --         --         --          0
Implant type 2.VATime                           --         --         --         --          0
Implant type 2.NVATime                          --         --         --         --          0
Implant type 2.WaitTime                         --         --         --         --          0
Implant type 2.TranTime                         --         --         --         --          0
Implant type 2.OtherTime                        --         --         --         --          0
Implant type 2.TotalTime                        --         --         --         --          0
Implant type 1.VATime                           --         --         --         --          0
Implant type 1.NVATime                          --         --         --         --          0
Implant type 1.WaitTime                         --         --         --         --          0
Implant type 1.TranTime                         --         --         --         --          0
Implant type 1.OtherTime                        --         --         --         --          0
Implant type 1.TotalTime                        --         --         --         --          0
patient.VATime                                  --         --         --         --          0
patient.NVATime                                 --         --         --         --          0
patient.WaitTime                                --         --         --         --          0
patient.TranTime                                --         --         --         --          0
patient.OtherTime                               --         --         --         --          0
patient.TotalTime                               --         --         --         --          0
dentures_patient.VATime                     92048.     (Insuf)    88741.     94098.          4    
dentures_patient.NVATime                    .00000     (Insuf)    .00000     .00000          4    
dentures_patient.WaitTime                   11672.     (Insuf)    8767.4     14368.          4    
dentures_patient.TranTime                   230.00     (Insuf)    230.00     230.00          4    
dentures_patient.OtherTime                  .00000     (Insuf)    .00000     .00000          4    
dentures_patient.TotalTime                  91946.     (Insuf)    88685.     94008.          4    
Implant_patient.VATime                          --         --         --         --          0
Implant_patient.NVATime                         --         --         --         --          0
Implant_patient.WaitTime                        --         --         --         --          0
Implant_patient.TranTime                        --         --         --         --          0
Implant_patient.OtherTime                       --         --         --         --          0
Implant_patient.TotalTime                       --         --         --         --          0
two stage implant 2.VATime                      --         --         --         --          0
two stage implant 2.NVATime                     --         --         --         --          0
two stage implant 2.WaitTime                    --         --         --         --          0
two stage implant 2.TranTime                    --         --         --         --          0
two stage implant 2.OtherTime                   --         --         --         --          0
two stage implant 2.TotalTime                   --         --         --         --          0
